Epoch 83 | Train loss: 0.0631 | Test loss: 0.0804
Epoch 84 | Train loss: 0.0648 | Test loss: 0.0811
Epoch 85 | Train loss: 0.0638 | Test loss: 0.0822
Epoch 86 | Train loss: 0.0634 | Test loss: 0.0816
Epoch 87 | Train loss: 0.0629 | Test loss: 0.0798
Epoch 88 | Train loss: 0.0627 | Test loss: 0.0752
Epoch 89 | Train loss: 0.0615 | Test loss: 0.0773
Epoch 90 | Train loss: 0.0608 | Test loss: 0.0770
Epoch 91 | Train loss: 0.0614 | Test loss: 0.0740
Epoch 92 | Train loss: 0.0611 | Test loss: 0.0723
Epoch 93 | Train loss: 0.0609 | Test loss: 0.0752
Epoch 94 | Train loss: 0.0613 | Test loss: 0.0806
Epoch 95 | Train loss: 0.0618 | Test loss: 0.0737
Epoch 96 | Train loss: 0.0600 | Test loss: 0.0701
Epoch 97 | Train loss: 0.0589 | Test loss: 0.0763
Epoch 98 | Train loss: 0.0589 | Test loss: 0.0745
Epoch 99 | Train loss: 0.0690 | Test loss: 0.0779
Epoch 100 | Train loss: 0.0626 | Test loss: 0.0724
Epoch 101 | Train loss: 0.0582 | Test loss: 0.0708
Epoch 102 | Train loss: 0.0576 | Test loss: 0.0797
Epoch 103 | Train loss: 0.0577 | Test loss: 0.0758
Epoch 104 | Train loss: 0.0578 | Test loss: 0.0722
Epoch 105 | Train loss: 0.0573 | Test loss: 0.0744
Epoch 106 | Train loss: 0.0567 | Test loss: 0.0737
Epoch 107 | Train loss: 0.0567 | Test loss: 0.0734
Epoch 108 | Train loss: 0.0575 | Test loss: 0.0790
Epoch 109 | Train loss: 0.0564 | Test loss: 0.0770
Epoch 110 | Train loss: 0.0559 | Test loss: 0.0739
Epoch 111 | Train loss: 0.0567 | Test loss: 0.0731
Epoch 112 | Train loss: 0.0558 | Test loss: 0.0764
Epoch 113 | Train loss: 0.0545 | Test loss: 0.0679
Epoch 114 | Train loss: 0.0552 | Test loss: 0.0694
Epoch 115 | Train loss: 0.0542 | Test loss: 0.0704
Epoch 116 | Train loss: 0.0547 | Test loss: 0.0723
Epoch 117 | Train loss: 0.0546 | Test loss: 0.0729
Epoch 118 | Train loss: 0.0539 | Test loss: 0.0704
Epoch 119 | Train loss: 0.0530 | Test loss: 0.0690
Epoch 120 | Train loss: 0.0528 | Test loss: 0.0690
Epoch 121 | Train loss: 0.0546 | Test loss: 0.0687
Epoch 122 | Train loss: 0.0527 | Test loss: 0.0690
Epoch 123 | Train loss: 0.0530 | Test loss: 0.0694
Epoch 124 | Train loss: 0.0521 | Test loss: 0.0666
Epoch 125 | Train loss: 0.0527 | Test loss: 0.0765
Epoch 126 | Train loss: 0.0520 | Test loss: 0.0726
Epoch 127 | Train loss: 0.0520 | Test loss: 0.0683
Epoch 128 | Train loss: 0.0512 | Test loss: 0.0821
Epoch 129 | Train loss: 0.0513 | Test loss: 0.0677
Epoch 130 | Train loss: 0.0516 | Test loss: 0.0727
Epoch 131 | Train loss: 0.0499 | Test loss: 0.0689
Epoch 132 | Train loss: 0.0506 | Test loss: 0.0766
Epoch 133 | Train loss: 0.0509 | Test loss: 0.0688
Epoch 134 | Train loss: 0.0504 | Test loss: 0.0655
Epoch 135 | Train loss: 0.0505 | Test loss: 0.0653
Epoch 136 | Train loss: 0.0503 | Test loss: 0.0735
Epoch 137 | Train loss: 0.0497 | Test loss: 0.0653
Epoch 138 | Train loss: 0.0493 | Test loss: 0.0686
Epoch 139 | Train loss: 0.0486 | Test loss: 0.0707
Epoch 140 | Train loss: 0.0501 | Test loss: 0.0674
Epoch 141 | Train loss: 0.0487 | Test loss: 0.0705
Epoch 142 | Train loss: 0.0494 | Test loss: 0.0669
Epoch 143 | Train loss: 0.0479 | Test loss: 0.0689
Epoch 144 | Train loss: 0.0497 | Test loss: 0.0742
Epoch 145 | Train loss: 0.0486 | Test loss: 0.0664
Epoch 146 | Train loss: 0.0473 | Test loss: 0.0683
Epoch 147 | Train loss: 0.0481 | Test loss: 0.0701
Epoch 148 | Train loss: 0.0471 | Test loss: 0.0711
Epoch 149 | Train loss: 0.0475 | Test loss: 0.0669
Epoch 150 | Train loss: 0.0473 | Test loss: 0.0656
Epoch 151 | Train loss: 0.0481 | Test loss: 0.0658
Epoch 152 | Train loss: 0.0473 | Test loss: 0.0661
Epoch 153 | Train loss: 0.0461 | Test loss: 0.0643
Epoch 154 | Train loss: 0.0463 | Test loss: 0.0664
Epoch 155 | Train loss: 0.0462 | Test loss: 0.0713
Epoch 156 | Train loss: 0.0474 | Test loss: 0.0676
Epoch 157 | Train loss: 0.0465 | Test loss: 0.0749
Epoch 158 | Train loss: 0.0466 | Test loss: 0.0668
Epoch 159 | Train loss: 0.0467 | Test loss: 0.0663
Epoch 160 | Train loss: 0.0458 | Test loss: 0.0646
Epoch 161 | Train loss: 0.0471 | Test loss: 0.0660
Epoch 162 | Train loss: 0.0464 | Test loss: 0.0638
Epoch 163 | Train loss: 0.0457 | Test loss: 0.0675
Epoch 164 | Train loss: 0.0447 | Test loss: 0.0631
Epoch 165 | Train loss: 0.0461 | Test loss: 0.0684
Epoch 166 | Train loss: 0.0458 | Test loss: 0.0665
Epoch 167 | Train loss: 0.0447 | Test loss: 0.0652
Epoch 168 | Train loss: 0.0450 | Test loss: 0.0698
Epoch 169 | Train loss: 0.0444 | Test loss: 0.0692
Epoch 170 | Train loss: 0.0444 | Test loss: 0.0640
Epoch 171 | Train loss: 0.0452 | Test loss: 0.0706
Epoch 172 | Train loss: 0.0447 | Test loss: 0.0677
Epoch 173 | Train loss: 0.0438 | Test loss: 0.0686
Epoch 174 | Train loss: 0.0438 | Test loss: 0.0670
Epoch 175 | Train loss: 0.0441 | Test loss: 0.0633
Epoch 176 | Train loss: 0.0443 | Test loss: 0.0653
Epoch 177 | Train loss: 0.0430 | Test loss: 0.0665
Epoch 178 | Train loss: 0.0432 | Test loss: 0.0669
Epoch 179 | Train loss: 0.0425 | Test loss: 0.0709
Epoch 180 | Train loss: 0.0436 | Test loss: 0.0695
Epoch 181 | Train loss: 0.0434 | Test loss: 0.0674
Epoch 182 | Train loss: 0.0432 | Test loss: 0.0654
Epoch 183 | Train loss: 0.0426 | Test loss: 0.0641
Epoch 184 | Train loss: 0.0429 | Test loss: 0.0753
Epoch 185 | Train loss: 0.0429 | Test loss: 0.0671
Epoch 186 | Train loss: 0.0421 | Test loss: 0.0642
Epoch 187 | Train loss: 0.0423 | Test loss: 0.0718
Epoch 188 | Train loss: 0.0427 | Test loss: 0.0637
Epoch 189 | Train loss: 0.0426 | Test loss: 0.0632
Epoch 190 | Train loss: 0.0411 | Test loss: 0.0624
