Epoch 89 | Train loss: 0.0317 | Test loss: 0.0431                                                                                                              
Epoch 90 | Train loss: 0.0308 | Test loss: 0.0410
Epoch 91 | Train loss: 0.0315 | Test loss: 0.0406
Epoch 92 | Train loss: 0.0310 | Test loss: 0.0404
Epoch 93 | Train loss: 0.0306 | Test loss: 0.0414
Epoch 94 | Train loss: 0.0304 | Test loss: 0.0398
Epoch 95 | Train loss: 0.0305 | Test loss: 0.0398
Epoch 96 | Train loss: 0.0316 | Test loss: 0.0389
Epoch 97 | Train loss: 0.0307 | Test loss: 0.0395
Epoch 98 | Train loss: 0.0297 | Test loss: 0.0395
Epoch 99 | Train loss: 0.0295 | Test loss: 0.0398
Epoch 100 | Train loss: 0.0293 | Test loss: 0.0401
Epoch 101 | Train loss: 0.0291 | Test loss: 0.0382
Epoch 102 | Train loss: 0.0289 | Test loss: 0.0394
Epoch 103 | Train loss: 0.0288 | Test loss: 0.0395
Epoch 104 | Train loss: 0.0287 | Test loss: 0.0374
Epoch 105 | Train loss: 0.0283 | Test loss: 0.0389
Epoch 106 | Train loss: 0.0284 | Test loss: 0.0380
Epoch 107 | Train loss: 0.0288 | Test loss: 0.0380
Epoch 108 | Train loss: 0.0280 | Test loss: 0.0375
Epoch 109 | Train loss: 0.0280 | Test loss: 0.0379
Epoch 110 | Train loss: 0.0283 | Test loss: 0.0372
Epoch 111 | Train loss: 0.0277 | Test loss: 0.0374
Epoch 112 | Train loss: 0.0278 | Test loss: 0.0383
Epoch 113 | Train loss: 0.0278 | Test loss: 0.0370
Epoch 114 | Train loss: 0.0274 | Test loss: 0.0377
Epoch 115 | Train loss: 0.0277 | Test loss: 0.0366
Epoch 116 | Train loss: 0.0272 | Test loss: 0.0373
Epoch 117 | Train loss: 0.0271 | Test loss: 0.0366
Epoch 118 | Train loss: 0.0271 | Test loss: 0.0366
Epoch 119 | Train loss: 0.0265 | Test loss: 0.0363
Epoch 120 | Train loss: 0.0266 | Test loss: 0.0373
Epoch 121 | Train loss: 0.0266 | Test loss: 0.0363
Epoch 122 | Train loss: 0.0265 | Test loss: 0.0365
Epoch 123 | Train loss: 0.0266 | Test loss: 0.0362
Epoch 124 | Train loss: 0.0267 | Test loss: 0.0368
Epoch 125 | Train loss: 0.0262 | Test loss: 0.0356
Epoch 126 | Train loss: 0.0258 | Test loss: 0.0349
Epoch 127 | Train loss: 0.0257 | Test loss: 0.0360
Epoch 128 | Train loss: 0.0260 | Test loss: 0.0355
Epoch 129 | Train loss: 0.0258 | Test loss: 0.0351
Epoch 130 | Train loss: 0.0255 | Test loss: 0.0350
Epoch 131 | Train loss: 0.0256 | Test loss: 0.0347
Epoch 132 | Train loss: 0.0254 | Test loss: 0.0348
Epoch 133 | Train loss: 0.0255 | Test loss: 0.0347
Epoch 134 | Train loss: 0.0257 | Test loss: 0.0374
Epoch 135 | Train loss: 0.0255 | Test loss: 0.0359
Epoch 136 | Train loss: 0.0252 | Test loss: 0.0345
Epoch 137 | Train loss: 0.0267 | Test loss: 0.0361
Epoch 138 | Train loss: 0.0259 | Test loss: 0.0353
Epoch 139 | Train loss: 0.0249 | Test loss: 0.0348
Epoch 140 | Train loss: 0.0251 | Test loss: 0.0345
Epoch 141 | Train loss: 0.0248 | Test loss: 0.0342
Epoch 142 | Train loss: 0.0247 | Test loss: 0.0347
Epoch 143 | Train loss: 0.0245 | Test loss: 0.0347
Epoch 144 | Train loss: 0.0251 | Test loss: 0.0353
Epoch 145 | Train loss: 0.0247 | Test loss: 0.0344
Epoch 146 | Train loss: 0.0245 | Test loss: 0.0354
